Account	the	and	for	you	this	with	your	that	are	from	our	all	now	new	amp	out	more	can	get	have	what	one	here	her	has	their	world	was	will	about	but	time	his	just	they	see	who	how	best	she	today	day	love	first	like	year	these	when	not	some	only	after	make	season	tonight	team	via	there	back	thank	don	know	into	watch	off	happy	years	its	home	them	most	been	over	recipe	holiday	two	good	live	check	family	great	tickets	week	last	help	streaming	take	right	than	life	black	theaters	learn	game	let	join	find	special	people	stream	next	night	around	big	tour	ever	favorite	through	way	meet	which	full	november	got	christmas	want	look	oreo	every	amazing	very	ready	women	need	had	other	final	disney	old	image	episode	show	bub	also	well	studios	never	traworlds	win	pts	miss	thanksgiving	earth	marvel	dog	experience	down	made	where	ocean	fallontonight	moon	many	little	long	top	animals	why	everyone	thanks	going	always	gbbo	strangeworld	tomorrow	pet	would	before	celebrate	friday	looking	mission	him	city	man	come	read	perfect	panther	work	much	being	may	were	say	nfl	could	usa	free	any	story	visit	follow	space	hubble	movie	wakandaforever	house	star	food	better	cup	even	men	double	book	support	history	cat	december	friends	did	fun	shows	too	light	weekend	national	together	things	part	please	available	video	think	event	playing	news	series	cookies	while	animal	coming	said	baby	still	because	friend	zoo	halloween	making	during	wednesday	spacecraft	pop	cookie	another	dogs	virginia	state	play	travel	nasa	birthday	give	disneyplus	artemis	hope	stars	second	gymnastics	trampoline	share	sale	blackadam	should	excited	proud	water	young	sea	enjoy	days	art	ast	oct	reb	climate	trip	set	place	netflix	gift	million	hours	vsp	catch	three	red	between	latest	again	below	wait	same	month	galaxy	care	getting	change	something	against	sweet	monday	wildlife	incredible	pets	saturday	october	stay	explore	sunday	round	tarts	south	photo	guys	journey	country	list	hear	says	own	four	sure	past	youthsports	petfinder	american	along	those	keep	small	really	music	app	lead	stories	york	link	forever	watching	nba	stop	each	then	medal	tribe	everything	premieres	near	system	away	dinner	doing	lecheminduroi	gotribe	across	moments	view	tune	fans	congrats	twitter	episodes	grumpy	moment	treat	premiere	fox	comes	solar	left	data	without	party	different	tell	until	beautiful	won	does	since	chance	adventure	thing	gold	bake	tumbling	behind	students	future	high	planet	hot	needs	soon	download	nov	album	hotel	bransoncognac	wonderreturns	finals	america	adorable	cubs	wild	lot	makes	welcome	views	call	loves	original	gets	bring	seen	record	president	must	start	recipes	fall	starts	green	cruise	champion	hard	film	use	community	others	move	takes	close	head	title	summer	cast	kids	holidays	glg	both	cheetah	park	lights	few	gas	boo	texas	keepers	song	adopt	sofia	lol	brown	wants	mini	found	including	end	listen	try	match	easy	cbs	known	winter	white	service	click	impact	tweet	ice	launch	might	cream	score	games	cake	mom	images	scientists	school	camp	starting	details	tuesday	football	lil	real	save	looks	called	police	group	ahead	eyes	taking
nytimes	160	82	38	15	17	17	7	29	20	19	3	9	9	8	0	3	9	10	1	22	7	7	4	3	24	11	20	15	14	8	21	8	15	3	15	2	7	8	3	4	2	2	1	10	5	10	6	5	9	11	2	14	6	4	0	2	0	9	5	2	0	1	5	2	4	0	11	11	1	4	4	5	9	1	3	4	1	4	0	1	1	0	5	6	0	0	2	1	5	6	4	0	0	5	0	0	3	0	11	0	2	2	0	3	0	1	1	2	3	0	3	0	0	2	2	1	0	0	2	0	1	0	2	1	3	2	1	0	3	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	2	0	3	0	1	0	0	0	7	4	1	5	0	1	0	0	1	2	0	0	0	1	6	1	0	1	2	0	3	4	2	4	1	1	0	1	2	1	4	12	4	1	5	0	1	3	0	0	6	0	0	0	0	2	1	0	0	17	3	5	0	0	2	1	1	0	1	5	2	0	2	0	2	0	0	2	3	1	0	0	0	0	1	3	0	0	4	0	1	9	1	1	2	0	0	0	3	3	1	0	1	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	1	1	2	0	0	4	3	0	0	3	2	4	0	0	0	0	1	0	0	1	1	0	1	4	0	3	0	0	0	4	0	0	1	4	1	0	5	0	0	1	1	1	0	1	0	5	0	2	0	0	4	0	1	1	0	0	1	1	0	1	4	1	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	2	1	3	1	0	1	2	1	3	0	0	0	1	0	0	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	0	0	0	0	2	0	1	1	0	3	3	0	2	0	1	0	0	1	0	0	0	2	0	0	3	1	1	0	3	0	0	0	0	0	0	1	0	3	2	1	0	1	3	1	0	1	0	1	0	0	1	0	0	0	4	1	1	2	2	1	0	0	0	0	2	0	0	3	0	0	0	0	0	5	1	0	0	0
CNN	147	38	31	8	14	8	2	21	11	23	0	1	5	8	0	6	2	5	0	8	6	7	5	8	19	6	15	13	4	8	8	4	10	3	4	2	17	1	1	3	1	1	0	7	2	11	2	3	4	6	0	10	0	1	0	5	0	3	1	0	4	4	4	1	0	0	3	10	3	0	4	9	3	0	1	1	0	3	0	0	0	0	11	1	2	0	0	0	2	2	0	0	0	4	0	0	1	2	6	0	3	2	6	2	1	0	0	0	1	0	1	0	0	0	4	2	0	0	1	0	1	0	2	3	6	2	1	0	6	0	3	1	0	2	3	0	0	0	1	0	0	0	0	0	0	0	1	4	0	3	0	0	2	0	6	1	0	3	0	0	0	0	0	0	0	0	0	1	0	6	2	0	2	4	3	0	0	0	0	0	1	1	2	3	1	0	2	2	2	0	0	0	3	0	0	0	0	1	0	3	1	6	1	1	1	0	1	2	0	0	0	0	0	0	1	0	0	5	1	1	3	0	0	0	1	0	0	4	0	0	3	2	1	6	0	1	0	0	0	0	2	6	0	0	0	0	0	0	0	7	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	3	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	4	3	0	0	0	1	0	0	2	1	0	1	3	0	0	0	0	0	2	0	0	0	1	2	0	6	0	0	0	5	2	0	2	1	4	0	2	0	0	0	1	1	0	0	0	0	1	1	1	4	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	2	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	1	0	0	0	2	0	1	4	0	1	0	0	1	1	3	0	1	0	0	2	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	3	2	0	2	1	1	2	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	4	3	0	0	1	0	9	4	1	1	0	0
NASA	214	66	40	16	14	17	9	8	10	39	24	6	25	13	6	7	14	9	2	7	6	5	7	0	14	4	2	4	19	9	1	7	1	6	4	2	5	6	0	0	15	5	1	14	4	1	4	1	1	3	2	2	2	0	0	4	0	4	5	0	2	0	6	8	4	0	4	16	6	3	2	3	4	0	1	4	1	26	2	0	0	0	3	3	4	0	3	2	6	2	1	0	6	0	0	2	1	0	0	0	6	1	9	4	0	2	0	4	3	2	5	4	0	0	0	1	2	0	0	0	1	2	1	1	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	3	25	0	0	0	2	0	3	2	0	42	2	0	1	1	0	1	0	0	2	0	0	0	0	0	1	2	2	1	3	31	1	0	0	1	0	0	0	5	1	2	3	0	1	0	2	0	0	2	1	0	4	13	0	0	0	1	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	0	4	0	0	1	0	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	1	5	1	26	0	0	3	0	0	0	1	0	11	0	0	0	43	0	1	0	0	0	3	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	2	6	0	0	0	0	4	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	0	3	1	1	0	0	1	0	0	5	0	0	5	1	1	0	0	2	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	15	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	4	2	3	2	1	3	0	11	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	3	0	6	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	2	16	0	0	0	0	0	0	4	1	0	0	0	3	1	0	0	3	0	0	0	0	0	2	0	2
washingtonpost	107	36	28	5	3	15	2	6	12	15	1	1	5	4	0	2	10	2	2	8	3	5	3	2	7	4	10	5	1	3	3	4	8	3	2	0	6	7	2	0	0	0	0	5	2	6	1	2	5	5	0	9	5	3	0	3	0	2	1	0	2	1	0	0	2	0	2	7	2	8	2	3	4	0	2	2	1	7	0	0	0	0	1	1	1	0	0	3	5	0	1	0	0	4	0	0	0	0	4	0	1	1	1	2	0	0	0	0	1	2	1	1	1	0	0	1	2	0	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	2	0	0	0	0	1	0	1	3	1	3	2	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	2	0	0	0	0	1	2	0	1	1	4	3	3	0	1	1	0	0	5	1	0	0	0	5	0	0	0	8	4	1	0	3	0	1	0	1	1	0	0	0	3	0	0	3	0	0	1	0	0	0	2	0	0	3	0	0	0	0	1	5	0	1	2	0	0	0	1	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	1	0	1	0	1	0	7	0	0	0	0	0	5	0	1	0	3	5	1	3	0	0	1	0	1	0	1	1	3	0	2	0	0	1	4	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	4	0	0	0	1	0	0	2	0	0	1	0	0	1	0	1	0	2	0	2	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	1	0	0	3	0	0	1	1	1	1	3	1	0	0
TravelLeisure	73	28	12	18	21	8	6	4	2	6	0	5	1	1	0	1	0	5	1	2	8	6	6	0	10	2	12	1	5	4	0	3	0	0	1	3	1	7	25	0	0	0	1	4	4	0	4	1	0	1	1	1	2	1	0	0	0	1	1	0	1	6	0	0	1	0	1	1	9	0	6	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	8	1	1	2	2	3	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	5	0	0	0	0	1	3	1	0	3	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	1	0	0	0	2	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
lonelyplanet	127	63	34	48	12	14	15	9	26	15	7	4	3	3	2	10	3	15	12	5	7	9	34	4	16	0	8	4	3	3	21	3	4	3	0	3	4	9	23	1	0	10	2	4	8	4	8	4	6	9	3	0	3	3	0	0	0	12	2	0	1	10	3	0	3	0	3	9	1	0	6	2	2	0	1	3	1	0	1	0	1	0	1	0	2	0	5	0	3	1	0	0	2	0	3	0	0	1	1	0	3	0	5	1	1	1	4	5	3	0	1	3	0	2	0	5	0	0	3	1	3	2	0	9	0	1	0	0	1	0	0	0	0	2	2	0	1	0	0	0	1	0	1	0	0	3	1	0	7	1	0	0	3	1	5	7	0	4	1	0	1	2	0	0	0	0	0	4	0	0	3	0	0	10	0	0	0	7	0	0	1	0	1	0	0	0	1	0	8	0	0	5	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	2	0	0	2	1	0	1	0	0	1	3	1	11	3	0	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	1	3	5	0	0	0	0	15	1	1	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	2	4	0	2	0	2	0	0	4	10	3	1	0	1	4	2	0	0	0	1	2	1	1	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	2	0	0	0	3	3	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	0	0	0	0	1	2	0	0	1	4	0	2	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0	1	0	0	2	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Tripadvisor	119	78	25	30	17	35	8	11	10	17	0	9	1	9	0	4	8	6	4	2	2	18	7	1	10	3	6	1	5	1	9	4	0	4	3	1	2	1	8	0	2	4	1	0	2	6	4	4	3	3	5	3	6	3	1	0	2	2	0	0	2	1	5	0	1	0	1	9	4	1	8	2	6	1	3	1	1	0	0	0	2	1	1	0	2	0	3	7	4	0	0	0	3	1	0	0	5	1	0	0	2	0	1	1	1	0	5	6	3	0	4	0	0	0	0	4	3	0	3	0	0	1	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	2	2	2	0	0	0	1	4	4	0	0	2	1	1	2	0	0	0	0	0	0	1	0	0	2	0	0	8	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	1	0	1	0	3	1	8	0	0	2	0	0	6	0	4	0	10	0	1	1	0	1	1	1	2	0	0	2	0	1	0	0	0	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	1	2	0	0	0	0	3	0	3	0	0	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	2	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	4	0	2	1	2	0	0	2	3	0	0	1	0	5	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	2	2	0	3	0	0	0	0	1	0	0	0	4	8	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	0	0	0	0	4	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
timestravel	140	57	19	27	28	21	10	5	12	17	3	6	5	7	1	4	3	4	3	6	8	6	17	6	9	2	4	1	4	3	7	3	0	3	0	2	2	9	16	1	1	0	3	0	0	17	10	2	3	9	0	0	5	2	0	0	0	2	2	0	1	2	3	0	3	0	0	6	2	0	8	3	3	0	4	0	2	0	0	5	1	0	2	0	0	0	5	4	1	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	3	1	0	0	0	0	2	3	0	3	1	2	0	0	1	0	0	0	0	4	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	7	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	3	4	1	0	1	0	0	3	0	0	0	0	0	0	2	0	2	0	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	2	2	0	2	0	0	0	1	3	0	7	0	0	0	0	0	0	1	2	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	7	1	3	0	0	3	0	0	0	6	7	0	1	0	0	2	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	21	0	0	0	0	0	0	2	2	1	0	1	0	0	0	3	0	1	0	0	0	2	0	0	0	1	5	0	0	1	0	2	0	0	1	2	1	0	4	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	0	2	0	3	0	0	6	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
usatodaytravel	83	23	23	23	23	9	17	6	12	8	1	2	2	9	0	5	2	10	4	7	5	2	7	4	1	7	9	3	4	3	5	7	0	2	5	2	5	7	2	1	0	1	1	3	3	2	8	3	2	5	0	6	6	2	1	1	0	6	0	0	0	1	4	0	2	1	2	3	1	2	3	2	0	0	5	1	0	0	1	1	0	1	0	2	4	0	1	0	3	1	3	0	1	0	2	0	1	0	2	0	5	1	2	1	0	2	0	2	2	0	2	0	0	3	3	5	1	0	1	0	0	1	1	3	3	2	0	7	2	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	3	1	0	3	0	1	0	0	3	0	0	2	0	0	1	0	1	1	0	0	0	0	2	1	0	2	1	0	0	3	2	1	0	1	0	0	1	0	2	3	4	0	5	0	2	0	0	0	1	3	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	2	1	1	1	3	1	0	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	3	1	1	2	0	0	0	0	7	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	1	1	2	0	1	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0	1	0	3	3	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	2
travelchannel	90	42	13	25	25	8	3	8	6	2	1	10	21	20	0	9	1	3	4	5	16	2	1	1	3	3	1	5	3	1	0	3	1	3	6	5	5	0	2	2	0	7	0	4	1	0	1	3	7	4	1	2	0	18	22	2	1	7	3	1	13	0	4	10	1	1	0	0	1	0	2	0	2	0	0	3	1	0	0	1	0	0	1	1	0	8	1	2	1	2	0	0	0	0	1	2	0	5	0	18	3	9	0	0	0	0	0	0	2	1	0	0	3	0	0	0	1	0	1	0	0	3	0	1	1	0	0	0	0	0	10	1	0	0	0	0	1	0	0	0	10	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	3	0	1	1	0	9	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	2	2	1	0	0	0	0	0	0	0	0	2	0	2	0	4	1	0	0	0	0	0	1	0	0	0	0	16	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	5	0	1	1	7	0	0	2	8	0	0	0	0	0	4	0	0	1	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	2	2	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	9	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
BritishBakeOff	77	34	23	30	13	14	12	6	7	17	14	12	4	0	0	4	0	9	2	7	7	7	7	1	7	6	3	5	5	4	1	8	2	3	4	4	0	4	0	0	2	2	3	0	2	3	1	5	4	1	2	2	2	0	5	0	0	6	4	1	0	2	3	0	39	1	1	0	1	2	0	8	7	1	0	2	2	0	0	0	4	0	1	8	0	0	2	1	2	8	0	0	0	1	2	1	0	1	1	0	3	2	0	2	0	0	0	1	1	2	1	1	1	3	3	2	1	0	6	3	3	1	0	3	0	1	17	0	0	0	1	1	0	0	5	0	3	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	1	2	0	0	0	1	1	0	0	87	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	4	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	6	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	1	0	1	1	0	0	0	0	0	2	0	38	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0
FoodNetwork	73	43	23	19	20	27	15	8	14	5	4	14	8	15	3	0	19	3	22	3	5	3	1	3	1	3	0	0	2	6	3	3	4	0	2	3	3	5	3	2	0	13	1	1	4	0	10	3	7	1	1	0	6	3	10	1	0	2	0	0	5	1	4	14	2	0	0	0	4	3	1	0	2	30	26	4	1	0	0	1	0	0	1	0	0	3	0	2	1	1	1	0	0	4	1	0	3	0	0	18	9	1	0	2	0	2	2	0	4	2	5	1	0	2	10	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	9	1	0	1	1	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	2	0	1	1	0	0	2	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	2	0	0	0	1	1	0	0	0	1	2	7	1	0	1	0	0	0	0	0	0	1	0	1	4	1	1	0	1	0	1	1	0	0	1	0	0	0	2	0	1	10	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	0	0	0	0	1	2	0	0	0	0	0	0	2	7	2	0	1	0	0	0	0	0	4	5	0	0	0	0	0	0	1	0	1	1	2	1	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	10	0	1	3	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	2	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1	0	0	5	1	0	7	0	0	0	0	0	0	0	3	0	0	1	2	1	1	0	0	0	0	2
